Date,Open,High,Low,Close,Volume,Adj Close
2010-11-04,3040.1001,3085.00,3036.00,3076.552,264500,542.23788
2010-11-03,3029.00,3045.00,3015.00,3024.052,153200,532.98483
2010-11-02,3006.948,3025.00,2983.552,3019.6001,164100,532.20019
2010-11-01,2988.1001,3025.00,2985.64795,2994.64795,74500,527.8024
2010-10-29,2984.00,2997.00,2946.552,2969.6001,314600,523.38776
2010-10-28,2989.00,3028.052,2956.00,2974.64795,281100,524.27743
2010-10-27,3009.00,3009.00,2965.00,2984.24805,406800,525.96944
2010-10-26,3020.00,3039.00,3004.00,3019.85205,335000,532.24459
2010-10-25,3055.24805,3074.00,3009.552,3019.50,287600,532.18254
2010-10-22,3039.69995,3084.00,3015.00,3053.24805,444200,538.13059
2010-10-21,3008.00,3038.00,2980.00,3033.14795,468600,534.58797
